id,title,link,item_group_id,color,material,image_count,additional_image_count,flags
oris-3-seater--charcoal,Arva Oris Modular 3 Seat Sofa – Cloud Style – Washable Fabric – Charcoal,https://livearva.com/products/oris-3-seater,oris-3-seat,Charcoal,weather-resistant performance weave fabric,1,6,
oris-3-seater--camel,Arva Oris Modular 3 Seat Sofa – Cloud Style – Washable Fabric – Camel,https://livearva.com/products/oris-3-seater,oris-3-seat,Camel,weather-resistant performance weave fabric,1,6,
oris-3-seater--warm-sand,Arva Oris Modular 3 Seat Sofa – Cloud Style – Washable Fabric – Warm Sand,https://livearva.com/products/oris-3-seater,oris-3-seat,Warm Sand,weather-resistant performance weave fabric,1,6,
oris-3-seater--stone,Arva Oris Modular 3 Seat Sofa – Cloud Style – Washable Fabric – Stone,https://livearva.com/products/oris-3-seater,oris-3-seat,Stone,weather-resistant performance weave fabric,1,6,
oris-3-seater--olive-green,Arva Oris Modular 3 Seat Sofa – Cloud Style – Washable Fabric – Olive Green,https://livearva.com/products/oris-3-seater,oris-3-seat,Olive Green,weather-resistant performance weave fabric,1,6,
oris-3-seater--sage-green,Arva Oris Modular 3 Seat Sofa – Cloud Style – Washable Fabric – Sage Green,https://livearva.com/products/oris-3-seater,oris-3-seat,Sage Green,weather-resistant performance weave fabric,1,6,
oris-3-seater--terracotta,Arva Oris Modular 3 Seat Sofa – Cloud Style – Washable Fabric – Terracotta,https://livearva.com/products/oris-3-seater,oris-3-seat,Terracotta,weather-resistant performance weave fabric,1,6,
oris-3-seater--rust,Arva Oris Modular 3 Seat Sofa – Cloud Style – Washable Fabric – Rust,https://livearva.com/products/oris-3-seater,oris-3-seat,Rust,weather-resistant performance weave fabric,1,6,
oris-3-seater--inky-blue,Arva Oris Modular 3 Seat Sofa – Cloud Style – Washable Fabric – Inky Blue,https://livearva.com/products/oris-3-seater,oris-3-seat,Inky Blue,weather-resistant performance weave fabric,1,6,
oris-loveseat--taupe,Arva Oris Modular Loveseat – Cloud Style – Washable Fabric – Taupe,https://livearva.com/products/oris-loveseat,oris-loveseat,Taupe,weather-resistant performance weave fabric,1,4,
oris-loveseat--ivory,Arva Oris Modular Loveseat – Cloud Style – Washable Fabric – Ivory,https://livearva.com/products/oris-loveseat,oris-loveseat,Ivory,weather-resistant performance weave fabric,1,4,
oris-loveseat--beige,Arva Oris Modular Loveseat – Cloud Style – Washable Fabric – Beige,https://livearva.com/products/oris-loveseat,oris-loveseat,Beige,weather-resistant performance weave fabric,1,4,
oris-loveseat--light-gray,Arva Oris Modular Loveseat – Cloud Style – Washable Fabric – Light Gray,https://livearva.com/products/oris-loveseat,oris-loveseat,Light Gray,weather-resistant performance weave fabric,1,4,
oris-loveseat--charcoal,Arva Oris Modular Loveseat – Cloud Style – Washable Fabric – Charcoal,https://livearva.com/products/oris-loveseat,oris-loveseat,Charcoal,weather-resistant performance weave fabric,1,4,
oris-loveseat--camel,Arva Oris Modular Loveseat – Cloud Style – Washable Fabric – Camel,https://livearva.com/products/oris-loveseat,oris-loveseat,Camel,weather-resistant performance weave fabric,1,4,
oris-loveseat--warm-sand,Arva Oris Modular Loveseat – Cloud Style – Washable Fabric – Warm Sand,https://livearva.com/products/oris-loveseat,oris-loveseat,Warm Sand,weather-resistant performance weave fabric,1,4,
oris-loveseat--stone,Arva Oris Modular Loveseat – Cloud Style – Washable Fabric – Stone,https://livearva.com/products/oris-loveseat,oris-loveseat,Stone,weather-resistant performance weave fabric,1,4,
oris-loveseat--olive-green,Arva Oris Modular Loveseat – Cloud Style – Washable Fabric – Olive Green,https://livearva.com/products/oris-loveseat,oris-loveseat,Olive Green,weather-resistant performance weave fabric,1,4,
oris-loveseat--sage-green,Arva Oris Modular Loveseat – Cloud Style – Washable Fabric – Sage Green,https://livearva.com/products/oris-loveseat,oris-loveseat,Sage Green,weather-resistant performance weave fabric,1,4,
oris-loveseat--terracotta,Arva Oris Modular Loveseat – Cloud Style – Washable Fabric – Terracotta,https://livearva.com/products/oris-loveseat,oris-loveseat,Terracotta,weather-resistant performance weave fabric,1,4,
oris-loveseat--rust,Arva Oris Modular Loveseat – Cloud Style – Washable Fabric – Rust,https://livearva.com/products/oris-loveseat,oris-loveseat,Rust,weather-resistant performance weave fabric,1,4,
oris-loveseat--inky-blue,Arva Oris Modular Loveseat – Cloud Style – Washable Fabric – Inky Blue,https://livearva.com/products/oris-loveseat,oris-loveseat,Inky Blue,weather-resistant performance weave fabric,1,4,
